Text,Type
a magic lamp and her search for her happily ever after,Plot
christmas,Genre
young boy wish for a lever action red ryder bb gun,Plot
christmas,Genre
based on charles dickens classic,Origin
masterpiece,Opinion
george c scott,Actor
christmas,Genre
bill murphy,Actor
the story of an angry old man who gets visited by ghosts,Plot
civil war drama,Genre
kevin costner,Director
academy awards,Award
charles dickens novel,Origin
animated,Genre
jim carey,Actor
giant creature being shot on top of the empire state building,Plot
classic,Opinion
1930 s,Year
screwball comedy,Genre
howard hawks,Director
cary grant,Actor
katharine hepburn,Actor
1945,Year
judy garland,Actor
margaret o brien,Actor
the 1904 world s fair,Plot
classic,Genre
1986,Year
children s,Genre
jennifer conneley,Actor
david bowe,Actor
jim henson,Director
classic,Opinion
british comedy,Genre
a group of knights searching for a fabled biblical artifact,Plot
classic,Opinion
christmas,Genre
a macy s santa clause trying to convince others that he s the real st nick,Plot
classic,Opinion
disney animated,Genre
the story of a young lion prince who seeks to retake his kingdom,Plot
classic,Opinion
disney,Director
litter of puppies in danger from an evil rich woman,Plot
classic horror film,Genre
a frightening character that kills young people in their dreams as they sleep,Plot
classic,Opinion
kevin bacon,Actor
remade,Relationship
2011,Year
julianne hough,Actor
classic,Opinion
marx brothers,Director
comedy,Genre
1933,Year
features a president named,Plot
rufus t firefly,Character_Name
classic,Opinion
drama,Genre
kevin costner,Actor
james earl jones,Actor
about building a baseball diamond in the middle of an iowa cornfield,Plot
classic,Opinion
as god is my witness i ll never be hungry again,Quote
classic,Opinion
revolving around,Plot
george bailey,Character_Name
james stewart,Actor
classic,Opinion
a man who accidentally ends up in a role of power,Plot
scary,Genre
peter cushing,Actor
doctor van helsing,Character_Name
christopher lee,Actor
bloodsucker,Character_Name
classic,Opinion
screwball comedy,Genre
two guys in drag on the lam from the mob,Plot
jack lemmon,Actor
tony curtis,Actor
clive owen,Actor
a lone pregnant woman and the attempt to get her to safety to save mankind,Plot
coen brothers,Director
jeff bridges,Actor
stoner who goes on a detective chase,Plot
coen brothers,Director
nic cage,Actor
holly hunter,Actor
a couple who desperately want a child,Plot
paul feig,Director
a controversial scene where 4 women get food poisoning,Plot
comedy,Genre
kristen wiig,Actor
academy award nomination,Award
comedy,Genre
story of three friends who decide to kill their employers with the help of,Plot
jamie foxx,Actor
comedy,Genre
70 s,Year
alumni,Opinion
topher grace,Actor
comedy,Genre
sequel,Relationship
bradley cooper zach galifianakis,Actor
ed helms,Actor
comedy spoof,Genre
leslie nielsen,Actor
passenger on an ill fated passenger flight,Plot
comedy spoof,Genre
leslie nielsen,Actor
crash and contains multiple flashbacks,Plot
will ferrell,Actor
mark wahlberg,Actor
hapless cops trying to solve a big case,Plot
comedy,Genre
2012,Year
sasha baron cohen,Actor
a north african ruler,Plot
origin story,Genre
2011,Year
caesar,Character_Name
critically acclaimed,Opinion
war,Genre
steven spielberg,Director
oscar for best picture,Award
cult,Genre
classic,Opinion
comedy,Genre
jared hess,Director
jon heder,Actor
cult classic,Genre
meatloaf,Actor
pair of large red lips and fishnet stockings,Plot
cult classic,Genre
brad pitt,Actor
as a character that actually only existed in,Plot
edward norton,Actor
head,Plot
culturally significant,Opinion
loosely based,Relationship
peter george s cold war thriller novel red alert,Origin
spike lee,Director
intense performances,Opinion
denzel washington,Actor
clive owen,Actor
david cronenberg,Director
jeff goldbloom,Actor
a teleportation exercise gone horribly wrong,Plot
david mamet,Director
dustin hoffman,Actor
a film producer hired to fake a war,Plot
david o russell,Director
mark wahlberg,Actor
christian bale,Actor
brother who box professionally,Plot
dc comics superhero movie,Genre
ryan reynolds,Actor
saving the world from an entity made of fear,Plot
disney,Director
animated,Genre
chronicles the story of a young french girl who grows to love a man turned into a hideous monster,Plot
disney animated,Genre
simba,Character_Name
lion whose father is murdered by his uncle,Plot
disney,Director
animated film,Genre
of,Plot
simba,Character_Name
who in the absence of a father is raised by,Plot
timon,Character_Name
and,Plot
pumba,Character_Name
disney,Origin
classic,Opinion
a father dying and the offspring learning to cope with difficulties,Plot
disney,Director
a crazed father trying to save his only daughter from a horrible monster,Plot
disney,Director
series,Plot
animated vignettes that coincide with famous pieces of music,Plot
disney,Director
a cowboy and an astronaut,Plot
disney,Director
musical,Genre
groundbreaking,Opinion
mickey mouse,Character_Name
as a sorcerer s apprentice who loses control of his master s tricks,Plot
disney,Director
summer blockbuster,Genre
jack gylenhal,Actor
based on a,Origin
long running game series,Relationship
documentary,Genre
errol morris,Director
a man wrongfully convicted of murder and put in prison for life,Plot
doo wop,Director
musical,Genre
john travolta,Actor
olivia newton john,Actor
story of young love between a preppy girl and a bad boy type,Plot
dr suess story,Plot
jim carey,Actor
the outcast of whoville,Plot
dystopian sci fi,Genre
harrison ford,Actor
chasing down rogue robots known as replicants in the future,Plot
early 90 s,Year
john singleton,Director
ice cube,Actor
the lives of a group of friends in a los angeles ghetto,Plot
eli roth,Director
charecterized by many as torture porn,Opinion
about friends who are kidnapped abroad,Plot
ensemble comedy,Genre
adam sandler chris rock,Actor
david spade,Actor
fathers reliving their youths,Plot
steven spielberg,Director
world war 2,Genre
liam neeson,Actor
save jews from the nazis,Plot
eye catching,Opinion
animated musical,Genre
hakuna matata,Soundtrack
i ca n t wait to be king,Soundtrack
black action,Genre
richard roundtree,Actor
academy,Award
famous,Opinion
animated disney,Genre
90 s,Year
mufasa,Character_Name
classic,Opinion
1939,Year
tale of southern belle,Plot
scarlett o hara,Character_Name
civil war,Genre
horror,Genre
jamie lee curtis,Actor
a killed with a rubber mask,Plot
famous,Opinion
musical,Genre
i ve got to wash that man right out of my hair,Soundtrack
christopher reeve,Actor
1978,Year
1987,Year
charles dickens novella,Origin
western,Genre
film the good the bad and the weird,Relationship
jimmy stewart,Actor
filibustering a bill on the floor of the united states congress,Plot
alienated mutant heroes tells the story of their beginnings and efforts to save the world from the true bad guys,Plot
adapted from a popular saturday night live sketch,Origin
will forte,Actor
creative problem solver,Plot
a killer rabbit and a black knight,Plot
popular book,Origin
jessica chastain,Actor
a clueless white lady in the south,Plot
stage musical,Origin
i feel pretty,Soundtrack
a steven king book,Origin
morgan freeman,Actor
a wise prisoner,Plot
based on the popular novel,Origin
octavia spencer,Actor
win an,Plot
academy award,Award
woody allen,Director
best director oscar,Award
diane keaton,Actor
best actress oscar,Award
george clooney,Director
david strathairn,Actor
michael bay,Director
characters from a toy line produced by hasbro,Origin
peter jackson,Director
first,Relationship
academy award winning,Award
trilogy,Relationship
ridley scott,Director
steven spielberg,Director
drew barrymore,Actor
story of children who find a lost alien,Plot
found footage,Genre
wild and crazy drunken evening at a party,Plot
charming arabian sheik who becomes infatuated with an adventurous modern thinking englishwoman and abducts her to his home in the saharan desert,Plot
a miser visited by ghosts on christmas eve set in england,Plot
adaptation of a 23 year old game series,Origin
featuring scimitars and acrobatics,Plot
adaption of anthony burgess novella of the same title,Origin
considered extremely vulgar,Opinion
based on a popular video game franchise,Origin
a time traveling arabian boy,Plot
al pacino,Actor
shakespeare s most famous tragedies,Origin
sequel,Relationship
disney classic,Origin
a man stuck in a video game,Plot
spoof,Genre
1980,Year
the antics of an airplane and its crew and passangers,Plot
vanessa redgrave,Actor
as a scottish queen at odds with glenda jackson as queen elizabeth i,Plot
daniel radcliffe,Actor
loosely based on susan hill s 1983 horror fiction novel,Origin
johnny depp,Actor
woody harrelson,Actor
martin mcdonagh,Director
follow up to the critically acclaimed in bruges,Relationship
bruce willis,Actor
a man who forms a relationship with a boy who reveals he is dead,Plot
john cusack,Actor
man who travels back in time with his friends to the 1980 s,Plot
a mental institution where a brash rebel rallies the patients to take on the oppressive nurse ratched a woman more dictator than nurse,Plot
a tv network who cynically exploits a deranged ex tv anchor s ravings and revelations about the media for their own profit,Plot
monsters who generate their city s power by scaring children but are terribly afraid themselves of being contaminated by children,Plot
shakespeare s play,Origin
a young prince who seeks revenge on his uncle for his father s murder,Plot
ben affleck,Director
matt damon,Director
academy award,Award
aaron sorkin,Director
chronicling the creation of facebook and legal recourse after its creation,Plot
won an oscar for best picture,Award
steven spielberg,Director
1992,Year
foreign action film,Genre
2000,Year
ang lee,Director
foreign,Genre
spin off,Relationship
the female lead who worked for section,Plot
futuristic movie,Genre
a desolate world fighting over gasoline,Plot
mel gibson,Actor
gary marshall,Director
1990,Year
song of the year grammy award,Award
greg hefley,Director
concentrates on the conflict between brothers and ends with a lesson in supporting family and friends,Plot
vietnam war drama,Genre
robert deniro,Actor
christopher walken,Actor
capture,Plot
guillermo del torro,Director
